header,content
1.1 What Are Cells?,"Learning Outcomes• Identify and state the functions of the following cell structures (including organelles) of typicalplant and animal cells from diagrams, light micrographs and as seen under the light microscopeusing prepared slides and fresh material treated with an appropriate temporary stainingtechnique: cell wall, cell membrane, cytoplasm, nucleus, cell vacuoles (large, sap-filled in plantcells, small, temporary in animal cells), chloroplasts.• Identify and state the functions of the following membrane systems and organellesfrom diagrams and electron micrographs: endoplasmic reticulum, Golgi body,mitochondria, ribosomes.• Compare the structure of typical animal and plant cells.Figure 1.1RobertHooke observed thatcork is made up oftiny cells.3"
2.1 What Is Diffusion?,Learning Outcomes• Define diffusion and describe its role in nutrient uptake and gaseous exchange inplants and humans.• Describe the factors that affect the rate of diffusion.
2.2 What Is Osmosis?,"Learning Outcomes• Define osmosis,investigate and describe the effects of osmosison plant and animal tissues.• Discuss the factors that affect the rate of osmosis.Figure 2.15Experimental set-up to demonstrate osmosis"
2.3 What Is Active Transport?,"Learning Outcome• Define active transport and discuss its importance as an energy-consuming process bywhich substances are transported against a concentration gradient, as in ion uptake byroot hairs and uptake of glucose by cells in the villi.Living cells are able to absorb certain substances even though these substances are ofhigher concentration inside the cell than they are in the external environment. This meansthat the cells are absorbing substances against a concentration gradient (Figure 2.30). Sucha process requires energy and is calledactive transport.1Humans store food to see them throughtimes when food is in short supply.Unfortunately, bacteria and fungi attackstored food and make it go bad. One way ofpreventing this is to store food in strong saltsolutions (brine) or sugar solutions (syrups)(Figure 2.29). Suggest with reasons why brineor syrups are used in food preservation.2An animal cell is placed in a concentratedsolution of sugar. Which substance will leavethe cell and which will move into the cell? What processes are involved?Let’s Practise 2.2Theory WorkbookWorksheet 2B"
3.1 What Are Carbohydrates?,"Learning Outcomes• List the chemical elements that make up carbohydrates.• State that cellulose, glycogen and starch are synthesised from glucose.• State the main role of carbohydrates as an immediate source of energy inliving organisms.• Describe and carry out tests for starch (using iodine in potassium iodide solution) andreducing sugars (using Benedict’s solution).Figure 3.1Food rich in carbohydratesCarbohydrates may be classified as single sugars, double sugars or complexcarbohydrates (Figure 3.2).Figure 3.2Classification of carbohydratesSugarsComplexcarbohydrates:• starch• cellulose• glycogenSingle sugars:• glucose• fructoseDouble sugars:• maltose• sucrose"
3.2 What Are Fats?,Learning Outcomes• List the chemical elements that make up fats.• State that lipids such as fats are synthesised from glycerol and fatty acids.• State the main roles of fats for insulation and long-term storage of energy inliving organisms.• Describe and carry out tests for fats (using ethanol).
3.3 What Are Proteins?,"Learning Outcomes• List the chemical elements that make up proteins.• State that polypeptides and protein are synthesised from amino acids.• State the main roles of proteins for growth and repair of cells inliving organisms.• Describe and carry out tests for protein (using biuret solution).Vegetarians are people who choose not to eat meat. Instead of consuming meatas a source of protein, they eat a lot more dairy (milk-based) or soy products.This is because proteins are essential nutrients and so alternative sources ofprotein must be consumed to ensure a healthy and balanced diet."
4.1 What Are Enzymes?,"Learning Outcome• Describe enzymes as biological catalysts, which are made of proteins and are involved in allmetabolic reactions."
Alert,"Optimum:mostfavourableAn enzyme is less active at low temperatures.At low temperature, the kinetic energy of molecules is low. Enzyme andsubstrate molecules move slowly. The rate of the substrate moleculescolliding with the enzyme is very low.1As the temperature increases, the rate of enzyme reaction increases.Increasing the temperature increases the kinetic energy of molecules. Therate of effective collision (i.e. the rate of substrate molecules colliding andfitting into the active site of the enzyme) is increased. This increases therate of enzyme-substrate complex formation.2This is the optimum temperature, where the enzymeis most active.For most human enzymes, theoptimumtemperature is about 40–45 °C.3"
Biological Catalysts,"Biological catalysts are large biological molecules called enzymes. Most enzymes are found inliving organisms.For example, potassium chlorate(VII) naturally breaks down (decomposes) to water andoxygen. This reaction occurs very slowly and at a high temperature.potassium chlorate(VII)potassium chloride+oxygenWhen potassium chlorate(VII) is heated strongly in a test-tube, oxygen is given off.Gentle heating only melts the potassium chlorate(VII), and no oxygen is produced.If a little manganese(IV) oxide is added to the melted substance, the reactionis speeded up and oxygen is rapidly given off. Manganese(IV) oxide:• allows the reaction to be carried out at a lower temperature; and• speeds up the reaction.At the end of the reaction, the same mass of manganese(IV)oxide remains, showing that it has not been changed in thereaction. Manganese(IV) oxide is an inorganic catalyst(Figure 4.1). Inorganic catalysts are not destroyed by boilingor by changes in the pH of the solution.In the same way, complex apparatus and high temperatures arerequired to break down carbohydrates, fats or proteins in thelaboratory. However, cells can carry out these same reactions quiterapidly without having to raise the body temperature. Cells carryout these reactions using catalysts calledenzymes."
Breakdown of Starch,"Starch in the foods we eat may be digested in our alimentary canal. Whenstarch is digested, the bonds within the polysaccharide are broken and theglucose molecules are released.The enzyme amylase digests starch to form the sugar maltose. Amylasecannot break maltose down to glucose. Maltose is hydrolysed to glucoseby another enzyme, maltase. Note that complete digestion of starch givesglucose molecules (Figure 3.13)."
CHAPTER,Isn’t it amazing how the toughest stains can be removed fromyour favourite T-shirts after washing? It is not done with theaid of special powers. It is through “special powders”. A lot ofwashing powders available in the market contain biologicalcatalysts called enzymes. What are enzymes?
Career,Figure 3.26Nutrition coach and a patientdiscussing a diet plan
Cells and the Chemistry of Life,"Now, look at Figure 3.27. Do you agree with what is said here? Why or why not?1To test a food for presence of reducing sugars or proteins, cutthe food into small pieces or grind up the food with a pestle andmortar (Figure 3.25). This helps to break the cells and release thefood substances so as to make a concentrated solution for testing.(a)Place some crushed pieces of food in a test-tube. Add 2 cm3ofwater to the test-tube to dissolve the sugars and proteins in the food.(b)Decant the solution into another test-tube.(c)Perform Benedict’s or biuret test with the solution. (Refer toLet's Investigate 3.1 and 3.4 respectively.)2To test for starch, use the iodine test in Let’s Investigate 3.2.3To test for fats, use the ethanol emulsion test in Let’s Investigate 3.3."
Characteristics of Enzymes?,"Learning Outcomes• Explain the mode of action of enzymes in terms of an active site,enzyme–substrate complex, lowering of activation energy and enzymespecificity using the ‘lock-and-key’ hypothesis.• Investigate and explain the effects of temperature and pH on the rate ofenzyme-catalysed reactions.Figure 4.7Enzyme-based biological detergent"
Chloroplasts,"•Chloroplastsare oval structures found in plant cells (Figure 1.16).• Chloroplasts contain a green pigment calledchlorophyll.• Chlorophyll is essential for photosynthesis, the process by which plantsmake food (see Chapter 12)."
Connect,"Some COVID-19 vaccines need to be stored at lowtemperatures for them to be effective. In some instances,the vaccines need to be stored at temperatures as low as–70 °C.At this very low temperature, enzymatic reactions that couldbreak down the mRNA (a type of genetic material) in the vaccineare literally frozen to a halt. Scientists and engineers thus need todesign, construct and use special freezers that have the ability to maintain suchsub-arctic temperatures. They also need to design and construct containers thatcan store and transport large quantities of the vaccines across the world, from theplace where it is manufactured to reach different countries.These special freezers and containers are examples of technology in action.Engineers apply their knowledge in cooling systems to design and build machinesthat work to prevent enzymatic reactions on the vaccine ingredients duringstorage and transport (Figure 4.14).Figure 4.14Storage of Covid-19 vaccine in freezersFigure 4.15Three people are discussing the effect of enzymes on silk clothing. What is your view?If a shirt ismade of silk and silk is aprotein, can the shirt bedigested by enzymes?I think it can happen,especially if the right enzymes areused! Since silk is a protein, it canbe digested by a protease. I’m notgoing to wear any silk!I don't thinkthat can happen. Manypeople wear silk. Moreover, silkis not a nutrient. So, how canit be digested?You have learnt how enzymes break down large molecules in food intosmaller molecules. Now look at Figure 4.15. What are your views on thestatements made by the three people?ABC"
Differences Between Plant and Animal Cells,"Table 1.1 shows the key differences between plant and animal cells.Table 1.1Differences between plant cells and animal cellsPlant CellAnimal CellCell wall presentCell wall absentPresence of a large, central vacuolePresence of many small vacuolesChloroplasts presentChloroplasts absentred blood cellwhite blood cellplateletThe CellCells are the basic unitsof life. The differentorganelles of a typicalplant and animal cellcarry out specific cellularprocess. The differencesin organelles found inplant and animal cells canexplain the differences infunctions between plantsand animals."
Diffusion,"Imagine that you are sitting in the living room reading a book. Your sister accidentally spillsa bottle of perfume in the living room. Gradually, you become aware of a pleasant scentspreading through the living room.Figure 2.1 illustrates how diffusion takes place.Figure 2.1Diffusion of perfume particlesPerfume, like all matter, is made up of particles such as atoms, molecules or ions.Individual particles of perfume evaporate from the surface of the spill, that is, they becomea gas.The gas particles have kinetic energy and are constantly moving in all directions. Theybump into one another and move about randomly.This causes the gas to spread throughout the house, until it reaches your nose and yousmell it. The gas spreads outwards through a process calleddiffusion.What Is a Concentration Gradient and How Is It Related to Diffusion?In Figure 2.1, point A represents the location where the bottle of perfume was spilled. Point Brepresents you in the living room, some distance away. Concentration refers to the amount of asubstance within a fixed volume. The concentration of gas particles is higher at A than at B. Thus,there is a difference in concentration between points A and B. This concentration difference canbe shown on a graph (Figure 2.2) and is referred to as the concentration gradient.2431PhysicsWe learn that the randommovement of microscopicparticles is known asBrownian motion."
Diffusion Across a Membrane,"Figure 2.5 illustrates the process of diffusion through a permeable membrane.A permeable membrane allows both the solvent (water) and the solutes (thedissolved substances) to pass through it.Eventually, there will be equal concentrations of all particles on both sidesof the membrane.Figure 2.5Diffusion of potassium nitrate and copper(II) sulfate particlesthrough a permeable membraneObservation and Discussion1Using the concept of concentration gradient, explain why the bluecolour of copper(II) sulfate gradually spreads throughout the waterin the jar.2When does diffusion stop?As you saw in Let’s Investigate 2.1, the particles of copper(II) sulfate movedfrom a region of higher concentration to regions of lower concentration inthe surrounding water. In other words, the solute particles diffused evenlythroughout the liquid to form a solution.If there is more than one substance dissolved in the same liquid, then thedissolved particles of one substance will diffuse independently of the others.As a result:• The dissolved particles of copper(II) sulfate will diffuse across themembrane to the left side of the beaker.• The dissolved particles of potassium nitrate will diffuse across themembrane to the right side of the beaker.23"
Enzymes Are Affected by Temperature,Figure 4.10 shows the effect of temperature on the rate of enzyme reaction.Figure 4.10Effect of temperature on the rate of enzyme reaction
Enzymes Are Affected by pH,"Enzymes are affected by the acidity or alkalinity of the solutions in whichthey act. Some work best in acidic solutions (for example, protease inthe stomach), others require alkaline solutions (for example, intestinalenzymes). When enzymes are placed in pH conditions that vary fromthe optimum, they start to denature. Extreme changes in the acidity oralkalinity of the solutions denature the enzymes.In Figure 4.13, point M indicates maximum activity of amylase at a pH ofabout 7 (optimum pH). As the solution becomes acidic (from pH 7 to 5) oralkaline (from pH 7 to 9), its activity decreases. At pH 4 or above pH 9, theenzyme is completely denatured."
Enzymes Are Biological Catalysts,"Enzymes are made up of protein molecules that are folded to take on three-dimensionalglobular shapes.strong heatAcatalystis a substance that can speed up a chemical reaction, without itself beingchemically changed at the end of the reaction.Enzymesare proteins that function as biological catalysts. They catalyse or speed up therate of chemical reactions. They remain chemically unchanged at the end of the reaction.Figure 4.1Manganese(IV)oxide is an inorganic catalyst."
Enzymes Are Specific in Action,"Enzymes have active sites. Only substrates with a shape complementaryto the active site can fit into the enzymes. When an enzyme binds toits substrate, it forms an enzyme–substrate complex. However, hightemperature, acids and alkalis can affect the shape of an enzyme andconsequently its function."
Enzymes Lower Activation Energy,"Fat in a peanut seed can be broken down by oxidation into carbon dioxideand water. This reaction can take place when the peanut is burnt. In otherwords, energy in the form of heat must be supplied to start breaking downthe fat in the peanut seed.The energy needed to start a chemical reaction is calledactivation energy(Figure 4.2).Enzymes provide an alternative pathway with lower activation energyrequired to start a chemical reaction. They lower the ‘height’ of the ‘hill’.This is shown in the graph in Figure 4.3. Enzymes catalyse chemicalreactions. They speed up the rate of chemical reactions by lowering theactivation energy.For example, enzymes speed up the breakdown of glucose to carbondioxide and water (Figure 4.3) at body temperature (37 °C).ChemistryWe learn the effects ofcatalysts on the rateof reactions. Catalystsprovide pathways withlower activation energiesthat increase rate ofreactions. Enzymes arebiological catalysts."
Enzymes Speed Up Chemical Reactions,Enzymes alter the rates of chemical reactions that occur in a cell. Enzymesspeed up a chemical reaction by lowering the activation energy needed tostart the reaction.
Factors That Affect the Rate of Diffusion,"The rate of diffusion can be affected by factors such as:• concentration gradient• diffusion distance• surface area-to-volume ratioHow concentration gradient affects the rate of diffusion has been discussedon page 21.Diffusion DistanceThe time taken for a substance to move from one point to another dependson the distance between the two points. The distance through which asubstance diffuses is called the diffusion distance. The shorter the diffusiondistance, the less time is needed for the substance to travel, and hence therate of diffusion is higher.In living organisms, the cell membrane is not like the membrane inFigure 2.6. It allows some substances to pass through but not others. Forexample, oxygen and carbon dioxide can pass through the cell membranebut proteins cannot.Diffusion is an important way by which oxygen andcarbon dioxide move into and out of cells.Exchange of oxygen and carbon dioxide in the lungs takes place bydiffusion (Figure 2.6(a)). Plant cells such as root hair cells also take in oxygenand remove carbon dioxide by diffusion (Figure 2.6(b)). In both thesescenarios, the diffusion distance is short, allowing diffusion to occur at ahigher rate."
Fats,"Fats are a type of lipid.Fats, like carbohydrates, are organic moleculesmade up of the elements carbon, hydrogen andoxygen. But unlike carbohydrates, fats contain muchless oxygen in proportion to hydrogen.For example, tristearin (beef fat) has the formula C57H110O6. Notehow little oxygen it contains in proportion to hydrogen.The proportionsof the elements that make up fats are not fixed, so there is no general formulafor fats.Fats can be animal fats or plant fats. Fats are commonly used as a storeof energy, especially by animals.Fats Can Be Broken Down into Fatty Acids and GlycerolFats can be broken down into simpler compounds such as fatty acids and glycerol. Refer tothe general equation shown in Figure 3.16.frozen oilFigure 3.15Theoil on the surfacechanges from liquidto solid when placedin the refrigerator.The reaction involves an enzyme. For example, when tristearin is broken down by the enzymelipase, stearic acid and glycerol are produced:three stearic acid molecules(an example of fatty acid)lipasetristearinglycerol+Figure 3.16A fat molecule breaks down into glycerol and fatty acid."
Function,"Enzymes are proteins,and hence are affectedby all the conditions thataffect proteins, such astemperature and pH. Theyhave optimal ranges oftemperature and pH."
Function?,"Table 1.2 shows some specialised cells and how they have been modifiedfor specific functions.Table 1.2Examples of specialised cells and their adaptationsDifferentiationis the process by which a cell becomes specialised for aspecific function.Cell StructureAdaptation to FunctionRed blood cell•Containshaemoglobin(a redpigment) which binds to oxygenand transports it around the body•Has a circular,biconcaveshapewhich increases the surfacearea-to-volume ratio so thatoxygen can diffuse in and out at ahigher rate•Lacks a nucleus, enabling the cellto store more haemoglobin fortransport of oxygen•Is flexible and can squeezethrough capillaries easilyMuscle cell• Is elongated and cylindrical inshape, contains many nucleiand mitochondria• Has mitochondria to provide theenergy for the contraction of themuscle cellRoot hair cell•Has a long and narrow root hairto increase the surface area-to-volume ratio to absorb water andmineral salts at a higher rateStructure andFunctionSpecialised cells havestructures whichhelp them carry outtheir functions moreefficiently."
Glycogen and Starch Are Stores of Glucose,"Plants store glucose in the form of starch.Animals cannot make or storestarch in their bodies. We get most of our carbohydrates from plants in theform of starch.In animals, the main store of glucose is glycogen. Hence, glycogen issometimes called ‘animal starch’. In mammals, glycogen is stored mainly inthe liver and the muscles (Figure 3.12).Figure 3.12Glycogen and starch as stores of glucoseFigure 3.13Digestion of starchGlycogen and starch are suitable as storage materials in cells because:• They are insoluble in water, so they do not change the water potential inthe cells.• They are large molecules that cannot diffuse through cell membranes, sothey will not be lost from the cell.• They can easily be easily broken down to glucose when needed, forexample, in tissue respiration.• Their molecules have compact shapes, so they occupy less spacethan all the individual glucose molecules that make up a glycogen orstarch molecule."
Golgi body,TheGolgi body(also known asGolgi apparatus) isshaped like a disc. It consists of a stack of flattenedspaces surrounded by membranes.Vesicles(tinyspherical spaces enclosed by a membrane) can be seenfusing with one side of the Golgi body and pinching offfrom the opposite side (Figure 1.12).The Golgi body:• chemically modifies substances made by the ER• stores and packages these substances in vesicles forsecretion out of the cell(b)Three-dimensional view of Golgi bodytubule of smoothendoplasmicreticulum(a)Colourised electron micrograph ofGolgi body (6 250×)flat spacemembraneWhat role do fats play inyour body? Read moreabout them in Chapter 3.What role do sexhormones play in yourbody? Read more aboutthem in Chapter 17.
How Are Enzymes Classified?,Enzymes are classified according to the chemical reactions they catalyse.For example:•carbohydrasesare enzymes that digest carbohydrates•proteasesare enzymes that digest proteins•lipasesare enzymes that digest fats (lipids)1 (a)What is an enzyme?(b)What are thetwotypes of reactions that enzymes catalyse?2The unripe fruit of the papaya tree contains a particular type ofdigestive enzyme that is often used to soften meat.(a)Infer the kind of organic molecule that this enzyme acts on.(b)Suggest how the enzyme may cause the effect of softeningof meat.3Red blood cells contain a common enzyme known as catalase.What do you think would happen if a drop of blood was added to asolution of hydrogen peroxide?Let’s Practise 4.1Theory WorkbookWorksheet 4A
How Are Enzymes Named?,"Previously, enzymes were simply named by the persons whodiscovered them. For example, pepsin (a type of protease) wasdiscovered and named by a scientist, Theodor Schwann(Figure 4.6), who was studying digestive processes. ‘Pepsin’means ‘to digest’ in Greek.However, naming enzymes this way led to a lot ofconfusion. Nowadays, enzymes are named according to ascientific system. The name of each enzyme:• shows the substance on which the enzyme acts• ends in ‘ase’For example, lipase refers to an enzyme that actson lipids."
How Can We Study the Parts of the Cell?,"Most cells are too small to be seen with our eyes alone. We can use lightand electron microscopes to help us to see cells and their parts. Over300 years ago, biologists like Robert Hooke and Antonie vanLeeuwenhoek created their own light microscopes to studymicroscopic objects!•Light microscopesmagnify objects up to 1000x (spoken:one thousand times) (Figure 1.2(a)).•Electron microscopesmagnify objects to more than200 000x (spoken: two hundred thousand times)(Figure 1.2(b)).A camera can be fitted to either type of microscope to takepictures. These pictures are calledmicrographs.•Light micrographscan come out as colour images.•Electron micrographsare black-and-white images, but they can beartificially colourised.To get a clearer picture of how a cell is constructed, we may need to makea section of the cell at different planes (Figure 1.3).(b)Cutting a transverse section (T.S.)(i.e., cuttingacrossthe length of the cell)(a)Cutting a longitudinal section (L.S.)(i.e., cuttingalongthe length of the cell)(b)electronmicroscope(a)lightmicroscope"
How Can We Test for Fats?,"Theethanol emulsion testis a test for the presence of fats. A white emulsionis formed when ethanol and water are added to fats. Anemulsionis asuspension of small drops of a liquid in another liquid.AimTo test for the presence of fats in food samples using theethanol emulsion testProcedure1On samples in liquid state (e.g. coconut oil):(a)Add 2 cm3of ethanol to a drop of liquid sample in atest-tube and shake the mixture thoroughly.(b)Add 2 cm3of water to the mixture and shake the mixture.(c)Record your observation.2On samples in solid state (e.g. peanut):(a)Crush the solid sample into small pieces using amortar and pestle and place the pieces in a test-tube.(b)Add 2 cm3of ethanol into the test-tube and shakethoroughly.(c)Allow the solid particles to settle. Carefully decant theethanol (pour off the top layer of ethanol) into another test-tubecontaining 2 cm3of water and shake the mixture.(d)Record your observation.ObservationThe white emulsion produced indicates the presence of fats (Figure 3.19).Let’s Investigate 3.31List the chemical elements that make up fats.2Listthreefunctions of fats.3Describe how you would test for fats in a food sample.Let’s Practise 3.2How has our opinion of eating eggs changed over time? In the past, eggswere considered bad for our health and we were discouraged from eatingmore than two per week. Now, eggs are considered by some nutritionists asthe “perfect food”. They are believed to contain all the necessary nutrientsthat are good for our growth and maintenance of the body (Figure 3.20).Eggs also contain cholesterol, which is a type of lipid.What about the discussion on cholesterol intake? Is the amount ofcholesterol found in our blood determined by how much cholesterol wetake in from food? Or is cholesterol manufactured by our bodies fromother types of nutrients? Are all forms of cholesterol bad for our health?Our knowledge of nutrients, and the roles they play in our lives, keepsmaturing as we gain a better understanding of how our bodies function.What attitudes should we embrace as we continue to explore this topicand discover more insights on food and nutrients? How should we behavewhen these insights from the latest research studies contradict what wethought we knew about the topic?"
How Can We Test for Proteins?,"Proteins can be detected by the biuret test. Thebiuret solutionis a blue solution madeup of sodium hydroxide and copper(II) sulfate. It turns violet (deep purple) whenproteins are present.AimTo test for the presence of proteins in a food sample (e.g. egg white) using biuret solutionProcedure1To 2 cm3of liquid food sample (e.g. eggwhite), add an equal volume of biuretsolution.2Shake well and allow the mixture to standfor five minutes.3Record your observation."
