header,content
How Can We Test for Reducing Sugars?,"Glucose, fructose and maltose are also known asreducing sugars. Reducingsugars will produce a red precipitate when boiled with Benedict’s solution(refer to Let’s Investigate 3.1). Sucrose is a non-reducing sugar and will notgive a red precipitate with this test.AimTo test for the presence of reducing sugars in different food samplesusing Benedict’s solutionProcedure1Place 2 cm3of each food sample into a test-tube (Figure 3.6).2Add 2 cm3of Benedict’s solution to the food sample (Figure 3.7).3Shake the mixture and place the test-tube in a boiling water-bathfor 2–3 minutes (Figure 3.8).4Record the colour of the solution."
How Can We Test for Starch?,Starch can be detected by the iodine test. A few drops ofiodine solutiontoany substance containing starch will produce a blue-black colour.
How Did Cells Get Their Name?,"The term ‘cells’ was first introduced by an English scientist, Robert Hooke, in 1667.He used one of the earliest microscopes to examine thin slices of cork from the barkof a tree (Figure 1.1). Hooke saw closely packed little boxes with thick walls. He namedthe boxes ‘cells’, just like the cells in a honeycomb or a prison. In fact,Hooke only saw the walls of dead plant cells."
How Does Osmosis Affect Living Organisms?,"A cell is surrounded by a living, partially permeable cell membrane.Enclosed within the cell membrane are the nucleus, cytoplasm and amixture of various substances.Note that the cell wall of plants is permeable and allows most dissolvedsubstances to pass through.A plant cell behaves differently from an animalcell when placed in solutions with differing water potentials. This is due tothe presence of the cell wall in plant cells."
How Does an Enzyme Work?,"Enzymes are highly specific in their action. For example, amylases onlyact on starch, and not on proteins or fats. Similarly, proteases act only onproteins, and lipases only on fats. Thisenzyme specificitymeans that eachchemical reaction inside a cell is catalysed by a unique enzyme."
Imagining Cells as Chemical Factories,"All living things are made up of billions of tiny cells, just as a building is made of bricks.Cells are the building blocks of life. They are the simplest structural and functional units of life.What do you think cells do? To answer this question, you need to imagine your cells aschemical factories. Many chemical reactions occur continually inside these factories to keepyou alive. For example:• A cell takes in raw materials.• Then, it processes these materials to make new molecules.• These molecules can either be used by the cell itself or transported to other parts ofthe body.In any factory, there are different departments that carry out different functions. A cell alsohas different structures that perform different roles within the cell. For example, mitochondriaprovide energy for cell activities, and chloroplasts carry out photosynthesis. Such division oflabour increases efficiency within the system. It ensures that the cell can survive and performits role within the body."
Let’s Investigate 2.2,"Calculating Surface Area-to-volume Ratios1Consider three cubes of sides 1 cm, 2 cm, and 3 cm respectively. We use three cubes torepresent cells of different sizes.2Complete Table 2.1.Table 2.1Surface area-to-volume ratio of three cubes representing cells of different sizesCubesides 1 cmsides 2 cmsides 3 cmSurface areaArea of one face= 1 cm × 1 cm = 1 cm2Surface area= number of faces ×area of one face= 6 × 1 cm2= 6 cm2VolumeVolume= 1 cm × 1 cm × 1 cm= 1 cm3Surfacearea-to-volume ratio6 cm2: 1 cm3"
Let’s Investigate 2.3,Figure 2.10Three agar blocks with the same volume but different surface areavilliepithelialcelllumenof small intestine
Let’s Investigate 3.1,Practical WorkbookExperiment 3A
Let’s Investigate 3.2,1Describe how you would test for reducing sugars in a food sample.2Describe how you would test for starch in a food sample.3Outline the role of carbohydrates in the life of an organism.4What do you think will happen if you add some amylase to a starchsolution and test the resulting solution with Benedict’s solutionafter five minutes?
Let’s Investigate 3.4,"1 (a)List the chemical elements that make up proteins.(b)Listthreefunctions of proteins.2Describe how you would test for proteins in a food sample.3Food tests were carried out on three different foods, labelled A, B and C.The results of the tests are given in Table 3.4.Table 3.4Results of food tests"
Let’s Investigate 3.5,"Nutrition CoachNutrition coaches work with their clients to guide them towards a healthy lifestyle (Figure 3.26).They help their clients to incorporate healthy eating behaviours into their lifestyle.To be successful at this, nutrition coaches need to have a good knowledge of what nutrients can dofor our health. They must have a good understanding of human behaviour, especially when peopleare faced with changes in life. They can incorporate healthy diets into the programmes to build thephysical fitness of their clients."
Let’s Investigate 4.1,"AimTo find out how temperature affects enzyme actionProcedure1Label and fill test-tubes A1, B1, C1and D1with 5 cm3of starch solutionrespectively.2Label and fill test-tube D2with 3 cm3of distilled water, and test-tubes A2,B2and C2with 3 cm3of amylase solution respectively.3Set up the experiment (see Figure 4.12 on the next page) by placing thetest-tubes into water-baths of varying temperatures as shown in the tablebelow.4After 5 minutes, pour the contents of test-tubes A2, B2, C2and D2intotest-tubes A1, B1, C1and D1, respectively. Shake to mix the contents in eachtest-tube. Return the test-tubes to their respective water baths.5After 1 minute, remove one drop from each solution with a droppingpipette and put it in the well in the plate provided. Then test it witha drop of iodine solution. (The solution turns blue-black if starch ispresent.)6Continue step 5 at 1-minute intervals until the iodine solution remainsbrown. This shows that all the starch has been digested.7Record the total time (T) taken (in minutes) for the starch in eachtest-tube to be completely digested.Test-tubesA1, A2B1, B2C1, C2D1, D2Temperature / ˚C03710037"
Let’s Investigate 4.2,"1Figure 4.16 represents the action of an enzyme.(a)Nametwoproperties of enzymes that are illustrated in the figure.(b)Statetwoother features, not necessarily shown in the figure.2What is the process of denaturation in enzymes?"
Let’s Practise 1.2,red bloodcellroot haircell
Let’s Practise 2.1,"Figure 2.12Root hair cellFigure 2.13Epithelial cellFigure 2.14Redblood cellChemistryWe learn that movingparticles have kineticenergy. As temperatureincreases, particlesgain more energy andmove faster. The rate ofdiffusion increases asthe temperature of thesolution increases."
Let’s Practise 3.1,Figure 3.14Iodine solution on the food sample turns from brown to blue-black.
Let’s Practise 3.3,Practical WorkbookExperiment 3A
Let’s Practise 4.2,substrateproductsenzymeenzyme
Let’s Review,Figure 2.32Figure 2.34Figure 2.33
Link,"AimTo investigate how pH affects enzyme actionProcedure1Label four test-tubes A, B, C and D, respectively.2Fill the four test-tubes as follows:Table 4.1Observation and Discussion1Which test-tube is protease active in? What would be observed in thistest-tube?2What are the purposes of test-tube B and test-tube D?Test-tubeContentsAa piece of boiled egg white + 10 drops dilute hydrochloricacid + 3 cm3protease found in the human stomachBa piece of boiled egg white + 10 drops dilute hydrochloricacid + 3 cm3distilled waterCa piece of boiled egg white + 10 drops dilute sodiumcarbonate + 3 cm3protease found in the human stomachDa piece of boiled egg white + 10 drops distilled water +3 cm3protease found in the human stomach"
Mitochondria,"Mitochondria(singular: mitochondrion) are small oval or sausage-shapedorganelles (Figure 1.14). Aerobic respiration occurs in the mitochondria.During aerobic respiration, food substances are broken down to releaseenergy (see Chapter 7). This energy may be used by the cell to perform cellactivities such as growth and reproduction."
Note,"Optimum pH values ofsome enzymes:• amylase (a carbohydrase)in saliva: pH 7• protease in stomach: pH 2• protease in smallintestine: pH 8Figure 4.13Effect of pH on the rate of reactions catalysed by different enzymesFigure 4.12Experimental set-up to show how temperature affects enzyme actionConclusion1The less time taken to digest starch, the more active the enzyme is.In this investigation, enzyme activity is measured by calculating(the reciprocal of the time taken to digest starch). What can youconclude about the effect of temperature on the activity of amylasefrom the graph ofagainst temperature?1T1TObservation1The iodine solution turned blue-black when test-tube A1was tested forstarch at the various 1-minute intervals.2The iodine solution remained brown when test-tube B1was tested forstarch afterTminutes.3The iodine solution turned blue-black when test-tube C1was tested forstarch at the various 1-minute intervals.4The iodine solution turned blue-black when test-tube D1was tested forstarch at the various 1-minute intervals.Scan the QR code toexplore a simulation onthe effects of temperatureand pH on the rate ofenzyme reaction."
Osmosis,"The cell membrane is apartially permeable membrane.It allowssome substances to pass through but not others.Figure 2.15 shows thetwo arms of a U-tube separated by a partially permeable membrane.This membrane is permeable to water molecules but not to sucrosemolecules. Sucrose is cane sugar, also known as table sugar.29"
Practical Workbook,Experiments 4A–4B
Present,"Figure 3.20Eggs contain protein,healthy fats and many nutrients likevitamins A, D and E, iron and folate.Practical WorkbookExperiment 3A"
Present in Our Food?,"You can carry out food tests on a variety of foods, for example, peanut,cucumber, onion, tomato and banana in order to find out what nutrientsthey contain. The following points in Let’s Investigate 3.5 are worth noting.ABCScan the QR code toexplore a simulationon testing fornutrients."
Proteins,"Proteinsare organic molecules made up of the elements carbon, hydrogen,oxygen and nitrogen. Another element, sulfur, may also be present.Proteins are always present in all cells. Their molecules are the largest andmost complicated of all the food substances. Proteins arecommonly found in the meat of animals (Figure 3.21).Figure 3.21Fish meat contains proteins.There are 20 different naturally occurring amino acids, for example,methionine and valine. They differ because of their differentRgroups.Amino acids are combined in various ways to form millions of differentprotein molecules, just as the 26 letters of the alphabet can be used toform a very large number of words."
Ribosomes,Ribosomesare small round structures. They are either attached to themembrane of the rough endoplasmic reticulum (RER) or lie freely in the cytoplasm(Figure 1.6 on page 5). They are needed to synthesise proteins in the cell.• The ribosomes attached to the RER make proteins that are usuallytransported out of the cell.• The ribosomes lying freely in the cytoplasm make proteins that are usedwithin the cytoplasm of that cell.The RER transports proteins made by ribosomes to the Golgi body forsecretion out of the cell.
Rough Endoplasmic Reticulum,"Rough endoplasmic reticulum (RER)consistsof a network of flattened spaces lined with amembrane (Figure 1.9). (Greek:endoplasm= withinthe cytoplasm;reticulum= network).• Its surface appears rough when viewed under theelectron microscope. This is because small particles calledribosomes are attached to its outer surface (Figure 1.10).• The outer surface of the RER is continuous with the nuclear membrane.Figure 1.9Three-dimensionaldiagram ofendoplasmicreticulummembrane linedwith ribosomesFigure 1.10Colourisedelectron micrograph ofmembrane lined withribosomesFigure 1.7Diagram showing parts of the nucleus (three-dimensional reconstruction of images seen under anelectron microscope)To see the individual parts of the nucleus clearly, we will need to use anelectron microscope (Figure 1.7).Chromosomes• Each chromosome is a longthread-like structure found withinthe nucleus. (A human cell contains46 chromosomes.)• It is made up of proteins and acompound called deoxyribonucleicacid or DNA. Hereditary informationis stored in DNA. DNA carriesinstructions that a cell needs forcarrying out its activities.• When the cell is dividing, thechromosomes condense and shortento become thick, rod-shapedstructures.Nuclearmembraneseparates thecontents of thenucleus fromthe rest of thecytoplasm.Figure 1.8 shows the appearance ofchromosomes during cell division.chromosomesFigure 1.8Highly magnified (25 000x)and colourised electron micrograph ofchromosomes during cell division"
Smooth Endoplasmic Reticulum,Smooth endoplasmic reticulum (SER)does not have ribosomes attachedto its membrane. SER is more tubular than RER (see Figure 1.11). It isconnected to the RER.The SER:• synthesises substances such as fats andsteroids(sex hormonesin mammals are steroids)• converts harmful substances into harmless substances througha process known asdetoxification
Sugars,"Sugars are sweet and soluble in water. When dissolved in water, they willlower the water potential of the solution. Sugars provide us with energy todo work and carry out activities (Figure 3.3).Single SugarsA single sugar is the basic unit of carbohydrate. It can pass through cellmembranes and be absorbed into the cells.The common single sugars areglucoseandfructose(refer to Table 3.1).They both have the same chemical formula, C6H12O6, but their atoms arearranged differently within the molecules. These different arrangementsgive the sugars different chemical and biological properties.Table 3.1Occurrence of single sugarsSingle SugarOccurrenceGlucoseFound in plantsand animalsFructoseCommon in plants,but rare in animals"
Surface Area-to-volume Ratio,"What does surface area-to-volume ratio mean to a cell?Why are cells typically small? Why do all large organisms always have bodies made up of manysmall cells and not just one large cell?The answers to these questions are related to the rate at which materials move across thecell membrane. Cells need to move oxygen, nutrients and waste materials across their cellmembrane fast enough to stay alive.The rate of movement of a substance across a cell membrane depends on how large the cellmembrane is (i.e. the surface area of the cell). For two cells of the same volume, the one withthe larger surface area allows for a higher rate of diffusion. The ratio between the surfacearea and volume of a cell is called surface area-to-volume ratio, and is an essential conceptin biology. The greater the surface area-to-volume ratio of a cell, the higher the rate at whichsubstances move in and out of it.The following investigation will help you better understand surface area-to-volume ratios."
Their Functions?,"Learning Outcome• Explain how the structures of specialised cells are adapted to their functions (e.g. muscle cell –many mitochondria to supply more energy, root hair cell – large surface area of cell membranefor greater absorption, red blood cell – lack of nucleus allowing it to transport more oxygen).There are many different types of cells in living organisms. These cells differ in size and shapeand they perform specific functions. For example:• the human body has liver cells, nerve cells and skin cells, and• the bougainvillea plant has guard cells and root hair cells.A nerve cell looksvery different from thegeneralised cell you havelearnt. Read more aboutit in Chapter 10.LinkTheory WorkbookWorksheet 1ALinkLet’s Practise 1.1Figure 1.211State the functions of the following membrane systems andorganelles in the cell:(a)chloroplasts(e)rough endoplasmic reticulum(b)Golgi body(f)smooth endoplasmic reticulum(c)mitochondria(g)vacuoles(d)ribosomes2Statethreedifferences between a plant cell and an animal cell.3Figure 1.21 shows a picture of a typical cell.(a)Identify the parts A, B and C.(b)Is this an animal cell or a plant cell? Givethreereasons foryour answer.13"
Three-dimensional Shape,"Many amino acid molecules are joined in a linear manner to form apolypeptide. Polypeptides in turn may be linked up to form an even longerchain of amino acids. A protein molecule is made up of one or more suchchains folded together (Figure 3.22). In most proteins, the polypeptidechains are folded into a more complex, three-dimensional shape.Figure 3.22Amino acids are joined to form polypeptides, which link up to formeven longer chains of amino acids."
Unchanged at the End of Reactions,"Enzymes are very efficient molecules. Since they remain unchanged in thereactions they catalyse, the same enzyme molecules can be used over andover again. Thus, a small amount of an enzyme can catalyse the reactionfor a large amount of substrate. For example, just a spoonful of washingpowder containing enzymes is enough to wash a large load of clothing."
Vacuoles,"Avacuoleis a fluid-filled space enclosed by apartially permeable membrane. Vacuoles storesubstances within the cell.Plant cells have a large central vacuole whichcontains a liquid called cell sap.Cell sapcontainsdissolved substances such as sugars, mineral saltsand amino acids.Animal cells have many small vacuoles thatcontain water and food substances. Thesevacuoles usually exist temporarily.stack of membranes containing chlorophyll(b)Colourised electronmicrograph of a sectionof a chloroplast"
Water Potential?,"When a cell is placed in a solution with a lower water potential, watermolecules will move from a region of higher water potential (inside thecell), into a region of lower water potential (outside the cell).A plant cell will decrease in size and become limp (Figure 2.22).Placing an animal cell in a solution with lower water potential will cause itto lose water. The cell shrinks and spikes appear on the cell (Figure 2.23).This process is calledcrenation. An animal cell will become dehydratedand eventually die when placed in a solution with a low water potential.Figure 2.22A plant cell in a solution with lower water potentialFigure 2.23An animal cell in a solution with lower water potentialBy osmosis, watermolecules fromthe vacuole andcytoplasm leavethe cell through thepartially permeablecell membrane.2placed in asolution oflower waterpotentialAs the cell loses water, thevacuole decreases in size. Thecytoplasm shrinks away fromthe cell wall. The shrinkageof cytoplasm and cellmembrane away from the cellwall is calledplasmolysis.The cell is said to beplasmolysed. A plasmolysedcell can be restored to itsoriginal state by placing it inwater or in a solution withhigher water potential.4The cell decreasesin size and becomesflaccid orlimp.3When a plant cell isimmersed in a solutionwith lower waterpotential, the cell saphas a higher waterpotential than thesolution outside the cell.1plant cellcell sap in vacuole"
What Are Complex Carbohydrates?,"A complex carbohydrate is made up of many similar molecules of singlesugar joined together to form a large molecule.Starch, glycogen and cellulose are complex carbohydrates made up ofnumerous glucose molecules. The glucose molecules are linked in differentways, giving rise to different structures. Hence, starch, glycogen andcellulose have different chemical and biological properties. They also havedifferent roles as shown in Table 3.3."
What Are the Functions of Carbohydrates?,"Carbohydrates are needed:• as a substrate for respiration, to provide energy for cell activities;• to form supporting structures, for example, cell walls in plants;• to be converted into other organic compounds such as amino acidsand fats;• for the formation of nucleic acids, for example, DNA;• to synthesise lubricants, for example, mucus, which consists of acarbohydrate and a protein; and• to synthesise the nectar in some flowers.Nectaris a sweet liquid thatplants produce to attract insects."
What Are the Functions of Fats?,"How are some animals able to survive in cold climate, while others are notable to? What are the features common to these animals? How do thesefeatures help them to survive in the cold?Fats function as:• A source and a long-term storage of energy.– They are a suitable long-term storage material because fats have ahigher energy value compared to carbohydrates.• An insulating material that prevents excessive heat loss. For example,animals such as seals have a thick layer of fat (blubber) beneath the skin,which helps to reduce loss of body heat (Figure 3.18).• A solvent for fat-soluble vitamins and many other vital substances suchas hormones.• An essential part of cells, especially in cell membranes.• A way to reduce water loss from the skin surface. Glands in the skinsecrete an oily substance.– This oily substance forms a thin layer over the skin surface, reducingthe rate of evaporation of water.– The oily substance also reduces the rate of heat loss from the skin.Figure 3.17Examples of food rich in fatsEnergyFats are one of the energystores of animals. Theyare required by livingorganisms to carry outlife processes."
What Are the Functions of Proteins?,"Proteins are used in the:• synthesis of new cytoplasm, for growth and repairof worn-out body cells;• synthesis of enzymes and some hormones; and• formation ofantibodiesto combat diseases.Figure 3.23Examples of plant and animal proteinsChemistryWe learn that apolymer is a type ofmacromolecule formedby many small unitscalled monomerslinked together."
What Are the Parts of the Cytoplasm?,"The cytoplasm contains tiny structures called organelles (Figure 1.6).Eachorganelleis specialised for a particular function. Examples of theseorganelles are nucleus, rough endoplasmic reticulum, ribosomes, Golgi body,mitochondria, chloroplasts and vacuoles.Figure 1.6Organelles in an animal cell seen under an electron microscopeNucleusThe nucleus is surrounded by a membrane called thenuclear membrane. Thenucleus contains genetic information in the form of chromosomes. You willlearn more about chromosomes later in this section.These are the functions of the nucleus:• It controls cell activities such as cell growth and the repair of worn-out parts.• It is essential for cell division. Cells without a nucleus, like the red blood cellsof a mammal, are unable to divide."
What Are the Sources of Fats?,"• Foods that are rich in fats include butter, cheese, fatty meat, olives,many nuts, peas, beans, seeds of castor oil and palm oil (Figure 3.17).• The meat of most fishes and ‘white meats’ have relatively less fats.However, some fishes such as herring and salmon have lots of fats.Figure 3.18Seals and polar bears have a thick layer of fat beneath their skin,which helps reduce heat loss."
What Are the Sources of Proteins?,"Proteins can be found in both animal and plant foods. Milk, eggs, seafoodand meat, such as chicken and lean beef,are some animal foods rich inproteins (Figure 3.23). Plant foods rich in proteins include soya beans, nuts,grains and vegetables such as French beans."
What Does a Cell Consist Of?,"Acellis a unit of life. It consists of a mass of living mattercalled protoplasm.While all the cells of your body may not look the same, they all have similarparts. Each living cell consists of living material calledprotoplasm(Greek:protos= first;plasm= form).Protoplasm is a complex jelly-like substance. Many chemical activities thatallow the cell to survive and grow are carried out in the protoplasm.Scan the QR code to watcha clip and have a glimpseof the structures insidethe cell."
What Reactions Do Enzymes Catalyse?,"Some food molecules are large and insoluble in water. These moleculescannot diffuse through the cell membrane.Enzymes are required to break these large molecules into simpler andsmaller substances so that they are:• soluble in water• small enough to diffuse through the cell membrane (Figure 4.4)Enzymes that are involved in digestion are known asdigestive enzymes.Examples of digestive enzymes are:• amylase — digests starch to maltose• maltase — digests maltose to glucose• protease — digests proteins to polypeptides, then to amino acids• lipase — digests fats to fatty acids and glycerol"
Why Is Turgor Important in Plants?,"Turgor, or how turgid cells are, plays an important role in maintaining theshape of soft tissues in plants. The young stems and leaves of herbaceousand non-woody plants are able to remain firm and erect. This is because ofthe turgor pressure within their cells. When there is a high rate of water lossfrom the cells, they lose their turgidity and the plant wilts.The movements of certain plant parts are due to changes in turgor. For example,changes in the turgor of the guard cells cause the opening and closing of thestomata (Figure 2.24).Plasmolysis causes cells to become flaccid or limp (Figure 2.25). Cells will bekilled if they remain plasmolysed for too long. Thus, it is not advisable to addtoo much fertiliser around the roots of plants because the soil solution willbecome very concentrated and water molecules will move out of the rootsby osmosis.Inability of the roots to absorb water, together with continued evaporationof water from the leaves, will cause the plant to wilt. Unless sufficient wateris added to dilute the soil solution, the plant will eventually die (Figure 2.26)."
Will Learn,• What are enzymes?• What are thecharacteristics ofenzymes?57
to Osmosis?,"• The term ‘water potential’ is always used in connection with osmosis.Water potential is a measure of the tendency of water molecules tomove from one place to another. A dilute solution (solution with lowerconcentration of solute) would have a higher water potential than aconcentrated solution. Hence, water molecules would move out of thedilute solution and into the concentrated solution through osmosis.• When a partially permeable membrane separates two solutions ofdifferent water potentials, a water potential gradient is established(Figure 2.17). Water molecules move from a region with higher waterpotential to a region with a lower one, that is, down a waterpotential gradient.Figure 2.16Experimental set-up to demonstrate osmosisPractical WorkbookExperiment 2BLink"
‘Lock-and-key’ Hypothesis,"The substances on which enzymes act are calledsubstrates. For example,protein is the substrate on which a protease acts.According to the ‘lock-and-key’ hypothesis, enzyme reactions dependon the presence ofactive sites(Figure 4.8). Active sites are grooves(depressions) or ‘pockets’ on the surface of an enzyme molecule into whichthe substrate molecule(s) with the matching shape can fit — just like alock and key. The enzyme is the lock, and the substrate is the key.When the substrate binds to the active site of the enzyme, anenzyme–substrate complexis formed. It is a temporary moleculeformed when substrates bind to the enzyme. Reactions take place at theactive site to convert the substrate molecule(s) into product molecule(s).The product molecule(s) separate(s) from the enzyme. The enzymemolecule remains unchanged and is free to combine again with moresubstrate molecules.The general equation is:E + SESE + PwhereE= enzymeS= substrate(s)P= product(s).Figure 4.8Three-dimensional model of enzyme pepsin with its active siteactive site (grooveon the protein)Structure andFunctionThe structure of biologicalmolecules affects theirfunctions. For example,the structure of enzymesaffects the substrates thatcan fit into the active site.This affects the reactionsthey catalyse."
